CustomerID,Name,Age,Gender,City,EmploymentType,Income,LoanAmount,LoanTerm,CreditScore,PreviousDefaults,Approved,Defaulted
1,Ayesha Joseph,58,Female,Sharjah,Self-Employed,19833.93,142404.08,60,755,1,False,False
2,Omar Smith,37,Male,Ajman,Self-Employed,29268.1,156252.45,12,451,1,False,False
3,Ali Ali,31,Female,Abu Dhabi,Salaried,25983.29,141643.26,24,465,0,True,True
4,Ayesha Ali,29,Female,Sharjah,Self-Employed,9612.41,116872.58,12,624,1,True,False
5,Khalid Smith,55,Female,Dubai,Salaried,15114.06,104889.21,24,769,1,True,True
6,Khalid Ali,42,Female,Ajman,Self-Employed,29240.14,153290.71,60,450,2,False,False
7,Sara Joseph,23,Male,Fujairah,Salaried,12702.06,86309.69,24,756,1,True,False
8,Zara Smith,58,Male,Sharjah,Salaried,5563.72,112298.34,48,389,2,False,True
9,Ayesha Ali,59,Male,Sharjah,Self-Employed,8698.65,172222.77,36,695,1,True,True
10,Ayesha Khan,49,Male,Abu Dhabi,Self-Employed,23538.19,88965.86,48,595,0,False,False
11,James Smith,58,Male,Abu Dhabi,Salaried,12580.78,197792.66,60,643,0,False,True
12,James Khan,47,Male,Fujairah,Self-Employed,22756.18,153496.31,24,504,0,False,False
13,Laila Ahmed,40,Female,Ajman,Self-Employed,10613.01,160331.71,24,568,1,False,True
14,Omar Joseph,32,Female,Abu Dhabi,Salaried,7983.87,62671.24,12,670,2,False,False
15,Omar Joseph,28,Female,Fujairah,Salaried,26132.0,40940.97,12,449,1,False,False
16,Ali Khan,31,Male,Sharjah,Self-Employed,15487.85,183299.88,36,349,1,False,False
17,Sara Ali,33,Male,Dubai,Salaried,18592.81,175764.2,36,577,2,False,True
18,Zara Khan,30,Male,Abu Dhabi,Self-Employed,14325.35,102130.81,36,466,0,True,False
19,Fatima Smith,56,Male,Ajman,Self-Employed,27900.78,32147.47,24,317,1,False,False
20,Ayesha Smith,49,Female,Abu Dhabi,Self-Employed,5718.99,164769.08,24,431,2,True,False
21,Omar Smith,34,Male,Dubai,Self-Employed,22270.45,158965.65,12,319,1,False,True
22,Sara Ahmed,53,Male,Ajman,Salaried,27713.23,18223.48,36,310,0,True,False
23,Fatima Ali,33,Male,Sharjah,Salaried,7269.48,170713.69,36,656,1,True,False
24,Zara Smith,53,Male,Dubai,Salaried,18220.97,146004.21,36,475,2,True,False
25,Sara Smith,53,Female,Sharjah,Salaried,15991.65,191972.07,24,663,1,False,True
26,Fatima Joseph,28,Female,Dubai,Self-Employed,7757.9,35823.35,36,595,2,True,True
27,Laila Ahmed,45,Female,Ajman,Self-Employed,22176.16,169807.13,24,717,1,False,True
28,Sara Joseph,44,Male,Dubai,Self-Employed,21802.39,85310.25,60,387,0,True,False
29,Zara Ahmed,31,Male,Sharjah,Salaried,13465.79,123042.56,48,425,0,False,False
30,Omar Ali,58,Female,Ajman,Self-Employed,16895.66,124601.43,48,796,2,False,True
31,Laila Ahmed,28,Female,Ajman,Self-Employed,10770.54,189056.57,12,401,2,True,False
32,Laila Ahmed,32,Female,Fujairah,Self-Employed,8818.42,128173.68,12,378,2,False,False
33,Fatima Khan,52,Female,Fujairah,Self-Employed,18560.95,163801.5,60,318,0,False,False
34,Sara Joseph,49,Female,Ajman,Self-Employed,16491.41,16243.36,60,610,2,True,False
35,Ali Khan,45,Female,Dubai,Self-Employed,21501.96,140221.09,60,781,1,True,False
36,James Khan,52,Female,Fujairah,Self-Employed,24161.77,64043.13,12,328,2,True,True
37,Ayesha Khan,58,Male,Sharjah,Self-Employed,7433.75,75577.18,36,721,1,True,False
38,Fatima Smith,40,Male,Dubai,Self-Employed,7861.78,42258.06,60,633,0,False,False
39,James Ali,53,Female,Sharjah,Salaried,22398.96,121717.95,36,686,2,False,False
40,Sara Joseph,27,Male,Sharjah,Self-Employed,17569.21,155331.74,36,470,2,False,False
41,James Smith,52,Male,Fujairah,Salaried,12183.89,19030.96,60,711,0,True,False
42,Zara Ahmed,58,Female,Sharjah,Salaried,19160.71,110902.09,48,514,1,True,False
43,Omar Ali,40,Female,Fujairah,Self-Employed,10001.92,86437.18,60,827,1,True,False
44,Khalid Smith,57,Female,Abu Dhabi,Self-Employed,11698.4,131206.01,60,744,2,True,False
45,Ayesha Joseph,30,Male,Abu Dhabi,Self-Employed,26103.05,87949.45,12,508,1,False,False
46,Ali Khan,59,Male,Ajman,Salaried,7838.96,46464.04,24,617,1,False,False
47,James Joseph,23,Male,Abu Dhabi,Self-Employed,8410.77,59095.4,36,480,2,True,False
48,Laila Ahmed,24,Male,Sharjah,Self-Employed,26679.29,181109.23,48,672,2,True,False
49,Ali Smith,28,Male,Fujairah,Self-Employed,17411.28,27147.27,60,425,1,False,False
50,James Smith,48,Male,Abu Dhabi,Salaried,9378.86,194285.46,48,718,1,True,False
51,Ayesha Ahmed,41,Female,Ajman,Salaried,29082.88,177092.37,24,671,1,False,False
52,John Ali,23,Male,Abu Dhabi,Self-Employed,18818.2,68761.02,36,424,2,True,False
53,James Ahmed,46,Female,Sharjah,Salaried,28408.06,153766.91,36,515,0,False,False
54,James Ahmed,38,Male,Ajman,Self-Employed,23423.55,186034.47,36,732,0,True,False
55,Khalid Ahmed,43,Female,Fujairah,Self-Employed,16331.54,15196.67,12,488,2,False,False
56,Ali Ahmed,46,Male,Sharjah,Self-Employed,19395.23,31057.36,24,828,2,True,False
57,James Khan,49,Female,Abu Dhabi,Self-Employed,9336.98,122673.88,36,588,0,True,False
58,Ali Joseph,45,Male,Dubai,Salaried,28077.81,132950.27,24,391,1,True,True
59,Ali Ahmed,46,Female,Fujairah,Self-Employed,8731.28,192026.24,24,420,0,False,False
60,Laila Joseph,28,Male,Abu Dhabi,Salaried,28651.31,164548.36,36,594,2,False,False
61,James Smith,59,Male,Sharjah,Salaried,15458.27,87619.58,24,329,1,False,True
62,Laila Smith,44,Female,Dubai,Salaried,16722.04,175574.26,48,517,2,False,False
63,Zara Khan,25,Male,Fujairah,Salaried,6302.82,186902.28,48,662,2,True,True
64,Khalid Ali,45,Female,Ajman,Self-Employed,8305.96,179522.93,12,483,1,True,False
65,Ayesha Joseph,29,Male,Sharjah,Self-Employed,8544.89,32199.99,12,430,1,False,False
66,James Khan,37,Female,Fujairah,Self-Employed,15894.38,41346.93,48,454,2,False,True
67,Ali Ahmed,35,Male,Dubai,Self-Employed,11505.6,144132.94,48,418,1,True,False
68,Khalid Joseph,50,Female,Dubai,Salaried,8091.36,27779.8,36,484,0,False,False
69,Zara Smith,58,Male,Fujairah,Salaried,15410.47,24598.74,48,396,1,True,True
70,Sara Joseph,44,Male,Sharjah,Salaried,5721.86,97444.3,48,764,2,False,False
71,John Khan,23,Female,Sharjah,Salaried,10284.17,19249.63,36,630,0,True,False
72,Zara Joseph,26,Female,Sharjah,Salaried,11002.0,156466.72,48,391,0,True,False
73,James Khan,30,Male,Sharjah,Self-Employed,25027.51,149818.96,36,434,1,True,False
74,Khalid Smith,52,Female,Ajman,Self-Employed,11711.99,124064.74,12,732,1,True,False
75,James Ahmed,23,Female,Ajman,Salaried,21190.27,145590.74,48,839,2,True,True
76,James Ahmed,51,Female,Abu Dhabi,Salaried,22107.85,67077.64,24,835,1,False,False
77,Khalid Ahmed,23,Male,Fujairah,Self-Employed,15325.49,98284.73,60,559,1,False,False
78,Khalid Ahmed,28,Female,Abu Dhabi,Salaried,26072.75,18599.16,48,604,1,False,False
79,Laila Ali,37,Female,Abu Dhabi,Salaried,9627.18,151935.57,60,565,2,True,False
80,John Ahmed,46,Male,Dubai,Salaried,21395.02,97430.97,48,798,1,False,False
81,James Khan,26,Male,Abu Dhabi,Salaried,9770.05,165033.96,24,327,0,False,False
82,Fatima Joseph,55,Male,Dubai,Self-Employed,24243.03,38151.47,48,322,0,True,False
83,Laila Joseph,51,Male,Ajman,Salaried,10033.46,118191.79,48,352,1,True,True
84,James Joseph,52,Female,Dubai,Self-Employed,14992.01,107537.59,60,799,0,True,False
85,James Ali,41,Male,Sharjah,Self-Employed,27228.51,32218.74,60,655,1,False,True
86,Omar Smith,51,Female,Ajman,Salaried,17690.9,121655.15,36,779,0,False,False
87,James Joseph,44,Female,Abu Dhabi,Salaried,12061.43,152358.32,48,432,0,True,False
88,Laila Ahmed,47,Female,Sharjah,Salaried,10235.82,18939.37,12,667,1,False,False
89,Ali Ali,23,Male,Sharjah,Self-Employed,7849.23,53071.15,60,529,1,False,False
90,Ayesha Ahmed,56,Female,Abu Dhabi,Salaried,22660.12,186060.1,48,768,0,True,False
91,Zara Ahmed,56,Male,Fujairah,Salaried,9176.16,32431.28,24,670,0,False,False
92,Khalid Joseph,27,Male,Sharjah,Self-Employed,25479.02,33366.86,24,749,1,True,True
93,Laila Khan,39,Male,Dubai,Self-Employed,14310.91,153420.59,36,551,0,False,False
94,Ali Joseph,47,Female,Ajman,Self-Employed,28593.51,94089.95,12,829,0,True,False
95,James Smith,48,Male,Ajman,Salaried,21504.4,131878.49,60,359,2,False,False
96,Khalid Khan,41,Female,Dubai,Self-Employed,27505.21,125976.2,24,713,1,True,False
97,Zara Ali,49,Female,Ajman,Salaried,27024.37,26013.38,60,642,1,True,False
